RESOURCE,DATE,NUM_PAT
Hospital_1,2025-03-09,5
Hospital_1,2025-03-10,7
Hospital_1,2025-03-11,9
Hospital_1,2025-03-12,12
Hospital_1,2025-03-13,9
Hospital_1,2025-03-14,10
Hospital_1,2025-03-15,6
Hospital_2,2025-03-01,8
Hospital_2,2025-03-02,13
Hospital_2,2025-03-03,11
Hospital_2,2025-03-04,14
Hospital_2,2025-03-05,15
Hospital_2,2025-03-06,18
Hospital_2,2025-03-07,18
Hospital_2,2025-03-08,18
Hospital_2,2025-03-09,17
Hospital_2,2025-03-10,13
Hospital_2,2025-03-11,10
Hospital_2,2025-03-12,7
Hospital_3,2025-03-06,10
Hospital_3,2025-03-07,15
Hospital_3,2025-03-08,21
Hospital_3,2025-03-09,25
Hospital_3,2025-03-10,25
Hospital_3,2025-03-11,25
Hospital_3,2025-03-12,22
Hospital_3,2025-03-13,15
Hospital_3,2025-03-14,14
Hospital_4,2025-03-02,4
Hospital_4,2025-03-03,6
Hospital_4,2025-03-04,10
Hospital_4,2025-03-05,12
Hospital_4,2025-03-06,11
Hospital_4,2025-03-07,10
Hospital_4,2025-03-08,12
Hospital_4,2025-03-09,12
Hospital_4,2025-03-10,8
Hospital_4,2025-03-11,11
Hospital_4,2025-03-12,5
Hospital_4,2025-03-13,6
Hospital_5,2025-03-02,5
Hospital_5,2025-03-03,7
Hospital_5,2025-03-04,6
Hospital_5,2025-03-05,7
Hospital_5,2025-03-06,9
Hospital_5,2025-03-07,10
Hospital_5,2025-03-08,10
Hospital_5,2025-03-09,10
Hospital_5,2025-03-10,8
Hospital_5,2025-03-11,9
Hospital_5,2025-03-12,4
Hospital_5,2025-03-13,3
Hospital_6,2025-03-03,6
Hospital_6,2025-03-04,6
Hospital_6,2025-03-05,9
Hospital_6,2025-03-06,9
Hospital_6,2025-03-07,12
Hospital_6,2025-03-08,13
Hospital_6,2025-03-09,11
Hospital_6,2025-03-10,12
Hospital_6,2025-03-11,13
Hospital_6,2025-03-12,11
Hospital_6,2025-03-13,10
Hospital_6,2025-03-14,8
Hospital_6,2025-03-15,8
Hospital_7,2025-03-04,10
Hospital_7,2025-03-05,16
Hospital_7,2025-03-06,25
Hospital_7,2025-03-07,23
Hospital_7,2025-03-08,22
Hospital_7,2025-03-09,19
Hospital_7,2025-03-10,13
Hospital_8,2025-03-01,7
Hospital_8,2025-03-02,8
Hospital_8,2025-03-03,11
Hospital_8,2025-03-04,9
Hospital_8,2025-03-05,13
Hospital_8,2025-03-06,13
Hospital_8,2025-03-07,13
Hospital_8,2025-03-08,11
Hospital_8,2025-03-09,11
Hospital_8,2025-03-10,9
Hospital_8,2025-03-11,10
Hospital_8,2025-03-12,7
Hospital_9,2025-03-06,10
Hospital_9,2025-03-07,11
Hospital_9,2025-03-08,15
Hospital_9,2025-03-09,16
Hospital_9,2025-03-10,16
Hospital_9,2025-03-11,15
Hospital_9,2025-03-12,15
Hospital_9,2025-03-13,13
Hospital_9,2025-03-14,9
Hospital_10,2025-03-02,8
Hospital_10,2025-03-03,8
Hospital_10,2025-03-04,10
Hospital_10,2025-03-05,11
Hospital_10,2025-03-06,10
Hospital_10,2025-03-07,12
Hospital_10,2025-03-08,13
Hospital_10,2025-03-09,13
Hospital_10,2025-03-10,11
Hospital_10,2025-03-11,12
Hospital_10,2025-03-12,9
Hospital_10,2025-03-13,9
Hospital_10,2025-03-14,7
Hospital_10,2025-03-15,4
